Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,-9999
Igor Ulanov,546,2006,36,EDM,D,37,3,6,9,-11,29,1.1,2,1,0,0,2,2,2,29,10.3,609,16:27,ulanoig01
Josef Vašíček,547,2006,25,CAR,C,23,4,5,9,3,8,0.7,4,0,0,0,4,1,0,41,9.8,354,15:23,vasicjo01
Mike Weaver,548,2006,27,LAK,D,53,0,9,9,-3,14,1.2,0,0,0,0,9,0,0,21,0.0,798,15:03,weavemi01
Aki Berg,549,2006,28,TOR,D,75,0,8,8,-5,56,1.6,0,0,0,0,7,0,1,42,0.0,1197,15:58,bergak01
Martin Cibák,550,2006,25,TBL,C,65,2,6,8,-9,22,-0.1,2,0,0,0,6,0,0,50,4.0,429,6:36,cibakma01
Cory Cross,551,2006,35,TOT,D,56,3,5,8,-3,59,1.6,2,0,1,0,5,0,0,32,9.4,717,12:48,crossco01
Joe DiPenta,552,2006,26,MDA,D,72,2,6,8,8,46,2.5,2,0,0,0,6,0,0,27,7.4,973,13:31,dipenjo01
Ben Eager,553,2006,22,PHI,LW,25,3,5,8,0,18,0.7,3,0,0,0,5,0,0,21,14.3,185,7:24,eagerbe01
Jiří Fischer,554,2006,25,DET,D,22,3,5,8,8,33,2.1,2,0,1,1,3,2,0,36,8.3,456,20:43,fischji01
Jeff Hamilton,555,2006,28,NYI,C,13,2,6,8,0,8,0.7,1,1,0,0,2,4,0,29,6.9,137,10:33,hamilje01
Jeff Hoggan,556,2006,27,STL,LW,52,2,6,8,-16,34,-0.3,2,0,0,0,6,0,0,60,3.3,457,8:47,hoggaje01
Aaron Johnson,557,2006,22,CBJ,D,26,2,6,8,9,23,2.1,1,1,0,1,5,1,0,28,7.1,369,14:12,johnsaa01
Randy Jones,558,2006,24,PHI,D,28,0,8,8,-6,16,0.6,0,0,0,0,4,3,1,21,0.0,419,14:58,jonesra01
Patrick Leahy,559,2006,26,BOS,LW,43,4,4,8,-2,19,0.4,4,0,0,0,4,0,0,46,8.7,391,9:06,leahypa01
Cody McCormick,560,2006,22,COL,C,45,4,4,8,1,29,0.6,4,0,0,1,4,0,0,43,9.3,347,7:42,mccorco01
Shawn McEachern,561,2006,36,BOS,LW,28,2,6,8,-12,22,-0.2,1,1,0,0,6,0,0,40,5.0,402,14:20,mceacsh01
Aaron Miller,562,2006,34,LAK,D,56,0,8,8,-6,27,1.1,0,0,0,0,6,1,1,32,0.0,1033,18:26,milleaa01
Wyatt Smith,563,2006,28,NYI,C,42,0,8,8,-7,26,-0.3,0,0,0,0,7,1,0,37,0.0,472,11:14,smithwy01
Jeremy Stevenson,564,2006,31,TOT,LW,51,5,3,8,-3,95,0.5,5,0,0,0,3,0,0,48,10.4,369,7:14,steveje01
Radoslav Suchý,565,2006,29,CBJ,D,79,1,7,8,-8,30,1.9,1,0,0,0,6,0,1,33,3.0,1574,19:55,suchyra01
Maxime Talbot,566,2006,21,PIT,C,48,5,3,8,-12,59,-0.2,3,0,2,1,3,0,0,45,11.1,526,10:58,talboma01
Vitaly Vishnevski,567,2006,25,MDA,D,82,1,7,8,8,91,2.7,1,0,0,0,6,1,0,90,1.1,1347,16:26,vishnvi01
Niclas Wallin,568,2006,30,CAR,D,50,4,4,8,2,42,1.8,4,0,0,0,3,1,0,44,9.1,841,16:50,wallini01
Clarke Wilm,569,2006,29,TOR,C,60,1,7,8,-15,43,-0.9,1,0,0,0,6,0,1,50,2.0,707,11:47,wilmcl01
Tyler Wright,570,2006,32,TOT,C,43,2,6,8,-1,51,0.1,2,0,0,1,6,0,0,43,4.7,479,11:09,wrighty01
Andrew Alberts,571,2006,24,BOS,D,73,1,6,7,3,68,1.9,0,0,1,0,5,0,1,30,3.3,936,12:50,alberan01
Milan Bartovič,572,2006,24,CHI,RW,24,1,6,7,0,8,0.4,1,0,0,0,6,0,0,35,2.9,212,8:50,bartomi01
Bob Boughner,573,2006,34,COL,D,41,1,6,7,2,54,1.2,1,0,0,1,5,1,0,15,6.7,297,7:15,boughbo01
Carlo Colaiacovo,574,2006,23,TOR,D,21,2,5,7,0,17,1.2,1,1,0,0,2,2,1,21,9.5,324,15:26,colaica01
Jassen Cullimore,575,2006,33,CHI,D,54,1,6,7,-24,53,-0.1,0,1,0,1,5,1,0,23,4.3,916,16:58,cullija01
Aaron Downey,576,2006,31,TOT,RW,42,3,4,7,2,95,0.7,3,0,0,0,4,0,0,21,14.3,235,5:36,downeaa01
Rico Fata,577,2006,25,TOT,RW,47,3,4,7,-4,22,-0.1,2,1,0,0,4,0,0,50,6.0,478,10:10,fatari01
Simon Gamache,578,2006,25,TOT,RW,26,3,4,7,-5,10,0.3,3,0,0,0,3,1,0,36,8.3,299,11:30,gamacsi01
Bruno Gervais,579,2006,21,NYI,D,27,3,4,7,-1,8,1.4,2,1,0,0,3,1,0,21,14.3,453,16:47,gervabr01
Jeff Giuliano,580,2006,26,LAK,LW,48,3,4,7,0,26,0.1,3,0,0,2,4,0,0,32,9.4,468,9:45,giulije01
Todd Harvey,581,2006,30,EDM,RW,63,5,2,7,-7,32,0.1,5,0,0,0,2,0,0,45,11.1,476,7:33,harveto01
Zenon Konopka,582,2006,25,MDA,C,23,4,3,7,-4,48,0.6,2,2,0,0,1,2,0,18,22.2,168,7:19,konopze01
Adam Mair,583,2006,26,BUF,C,40,2,5,7,-2,47,0.3,2,0,0,0,5,0,0,40,5.0,320,7:59,mairad01
Steve Montador,584,2006,26,TOT,D,58,2,5,7,4,79,1.8,2,0,0,0,5,0,0,55,3.6,801,13:48,montast01
Jed Ortmeyer,585,2006,27,NYR,RW,78,5,2,7,2,38,-0.3,5,0,0,1,2,0,0,90,5.6,866,11:06,ortmeje01
Dustin Penner,586,2006,23,MDA,RW,19,4,3,7,3,14,0.8,2,2,0,1,3,0,0,46,8.7,227,11:58,pennedu01
Lasse Pirjetä,587,2006,31,PIT,C,25,4,3,7,4,18,0.8,4,0,0,0,3,0,0,30,13.3,231,9:15,pirjela01
Keith Primeau,588,2006,34,PHI,C,9,1,6,7,0,6,0.5,0,1,0,0,3,2,1,12,8.3,143,15:56,primeke02
Jason Strudwick,589,2006,30,NYR,D,65,3,4,7,-10,66,1.3,3,0,0,0,4,0,0,31,9.7,1009,15:31,strudja01
Jaroslav Svoboda,590,2006,25,DAL,LW,43,4,3,7,-3,22,0.4,4,0,0,2,3,0,0,33,12.1,304,7:04,svoboja01
Trent Whitfield,591,2006,28,STL,C,30,2,5,7,-3,14,0.2,1,1,0,0,4,1,0,41,4.9,358,11:56,whitftr01
James Wisniewski,592,2006,21,CHI,D,19,2,5,7,0,36,1.2,2,0,0,0,4,1,0,25,8.0,302,15:52,wisnija01
Nolan Yonkman,593,2006,24,WSH,D,38,0,7,7,1,86,0.9,0,0,0,0,7,0,0,14,0.0,313,8:13,yonkmno01
Tommy Albelin,594,2006,41,NJD,D,36,0,6,6,4,2,1.6,0,0,0,0,5,1,0,15,0.0,503,13:59,albelto01
Adrian Aucoin,595,2006,32,CHI,D,33,1,5,6,-13,38,0.5,0,1,0,0,1,4,0,59,1.7,758,22:58,aucoiad01
Kevin Bieksa,596,2006,24,VAN,D,39,0,6,6,-1,77,1.1,0,0,0,0,4,2,0,38,0.0,628,16:06,biekske01
Derek Boogaard,597,2006,23,MIN,LW,65,2,4,6,2,158,0.4,2,0,0,1,4,0,0,15,13.3,350,5:23,boogade01
Matt Carle,598,2006,21,SJS,D,12,3,3,6,-2,14,0.9,1,2,0,1,1,2,0,11,27.3,193,16:07,carlema01
Rob Davison,599,2006,25,SJS,D,69,1,5,6,6,76,2.1,1,0,0,0,5,0,0,36,2.8,955,13:50,davisro01
Josh Gorges,600,2006,21,SJS,D,49,0,6,6,5,31,1.8,0,0,0,0,5,1,0,25,0.0,864,17:38,gorgejo01
