Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Mark Barberio,796,2013,22,TBL,D,2,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,1,0.0,31,15:30,1,0,0,0,,barbema01
Michael Caruso,797,2013,24,FLA,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,16,7:55,2,0,0,0,,carusmi01
Jake Dowell,798,2013,27,MIN,C,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,17,8:33,0,2,2,1,66.7,dowelja01
Jordan Hendry,799,2013,28,ANA,D,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,35,17:35,2,1,0,0,,hendrjo02
Nick Holden,800,2013,25,CBJ,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,2,0.0,17,8:35,0,3,0,0,,holdeni01
Dmitrij Jaškin,801,2013,19,STL,RW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,15,7:30,0,2,0,0,,jaskidm01
Nicklas Jensen,802,2013,19,VAN,LW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,28,13:51,0,2,0,0,,jenseni01
Derek Joslin,803,2013,25,VAN,D,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,34,17:00,4,4,0,0,,joslide01
Matthew Konan,804,2013,21,PHI,D,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,32,15:56,2,5,0,0,,konanma01
Drew LeBlanc,805,2013,23,CHI,C,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,3,0.0,27,13:20,0,0,9,9,50.0,lebladr01
Jonathan Marchessault,806,2013,22,CBJ,C,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,22,10:57,0,1,0,0,,audymjo01
Jan Muršak,807,2013,25,DET,LW,2,0,0,0,0,4,0.0,0,0,0,0,0,0,0,0,,11,5:39,0,0,1,1,50.0,mursaja01
Matt Pelech,808,2013,25,SJS,D,2,0,0,0,0,7,0.0,0,0,0,0,0,0,0,0,,18,9:03,0,6,0,0,,pelecma01
Jared Staal,809,2013,22,CAR,RW,2,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,3,0.0,27,13:23,1,12,0,0,,staalja01
Andrej Šustr,810,2013,22,TBL,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,2,0.0,21,10:43,1,0,0,0,,sustran01
Matt Taormina,811,2013,26,TBL,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,33,16:39,3,5,0,0,,taormma01
Jamie Tardif,812,2013,28,BOS,RW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,10,4:56,2,4,0,0,,tardija01
Mike Angelidis,813,2013,27,TBL,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,7,7:22,0,0,3,4,42.9,angelmi01
Mark Arcobello,814,2013,24,EDM,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,18,18:15,2,0,3,7,30.0,arcobma01
Mattias Ekholm,815,2013,22,NSH,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,16,16:05,0,0,0,0,,ekholma01
Éric Gélinas,816,2013,21,NJD,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,16,15:59,0,1,0,0,,geliner01
Marc-André Gragnani,817,2013,25,CAR,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,8,7:53,0,0,0,0,,gragnma01
Darren Helm,818,2013,26,DET,C,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0,12,12:27,0,4,6,8,42.9,helmda01
